timestamp,model,metric,value,notes
2026-09-04 15:30:48,Linear,Test_MSE,479969.52479461,
2026-09-04 15:31:03,Polynomial,Test_MSE,488638.42480169,
2026-09-04 15:31:10,Ridge,Test_MSE,498192.3387168,
2026-09-04 15:31:17,Lasso,Test_MSE,477340.89712888,
2026-09-04 15:35:30,Linear,Test_MSE,479969.52479461,
2026-09-04 15:35:43,Polynomial,Test_MSE,488638.42480169,
2026-09-04 15:35:47,Ridge,Test_MSE,498192.3387168,
2026-09-04 15:35:56,Lasso,Test_MSE,477340.89712888,
2026-09-04 15:37:47,Linear,Test_MSE,479969.52479461,
2026-09-04 15:37:59,Polynomial,Test_MSE,488638.42480169,
2026-09-04 15:38:03,Ridge,Test_MSE,498192.3387168,
2026-09-04 15:38:07,Lasso,Test_MSE,477340.89712888,
2026-09-04 15:38:27,PCR,Test_MSE,498191.83015583,ncomp = 1
2026-09-04 15:38:50,PLS,Test_MSE,493086.10913687,ncomp = 1
2026-09-04 15:38:53,Regression Tree (Pruned),Test_MSE,33197.15540734,
2026-09-04 15:46:00,Linear,Test_MSE,479969.52479461,
2026-09-04 15:46:25,Linear,Test_MSE,479969.52479461,
2026-09-04 15:46:37,Polynomial,Test_MSE,488638.42480169,
2026-09-04 15:46:44,Ridge,Test_MSE,498192.3387168,
2026-09-04 15:46:50,Lasso,Test_MSE,477340.89712888,
2026-09-04 15:47:24,PCR,Test_MSE,498191.83015583,ncomp = 1
2026-09-04 15:47:56,PLS,Test_MSE,493086.10913687,ncomp = 1
2026-09-04 15:48:01,Regression Tree (Pruned),Test_MSE,33197.15540734,
2026-09-04 16:10:32,Linear,Test_MSE,479969.52479461,
2026-09-04 16:10:43,Polynomial,Test_MSE,488638.42480169,
2026-09-04 16:10:50,Ridge,Test_MSE,498192.3387168,
2026-09-04 16:10:58,Lasso,Test_MSE,477340.89712888,
2026-09-04 16:11:34,PCR,Test_MSE,498191.83015583,ncomp = 1
2026-09-05 12:07:03,Linear,Test_MSE,479969.52479461,
2026-09-05 12:07:15,Polynomial,Test_MSE,488638.42480169,
2026-09-05 12:07:20,Ridge,Test_MSE,498192.3387168,
2026-09-05 12:07:24,Lasso,Test_MSE,477340.89712888,
2026-09-05 12:07:45,PCR,Test_MSE,498191.83015583,ncomp = 1
2026-09-05 12:08:06,PLS,Test_MSE,493086.10913687,ncomp = 1
2026-09-05 12:08:09,Regression Tree (Pruned),Test_MSE,33197.15540734,
2026-09-05 12:50:22,Linear,Test_MSE,479969.52479461,
2026-09-05 12:50:34,Polynomial,Test_MSE,488638.42480169,
2026-09-05 12:50:39,Ridge,Test_MSE,498192.3387168,
2026-09-05 12:50:42,Lasso,Test_MSE,477340.89712888,
2026-09-05 12:51:02,PCR,Test_MSE,498191.83015583,ncomp = 1
2026-09-05 12:51:21,PLS,Test_MSE,493086.10913687,ncomp = 1
2026-09-05 12:51:24,Regression Tree (Pruned),Test_MSE,33197.15540734,
2026-09-05 14:28:12,Linear,Test_MSE,479969.52479461,
2026-09-05 14:31:08,Linear,Test_MSE,479969.52479461,
2026-09-05 14:34:55,Linear,Test_MSE,479969.52479461,
2026-09-05 14:35:03,Polynomial,Test_MSE,488638.42480169,
2026-09-05 14:35:07,Ridge,Test_MSE,498192.3387168,
2026-09-05 14:35:10,Lasso,Test_MSE,477340.89712888,
2026-09-05 14:35:22,PCR,Test_MSE,498191.83015583,ncomp = 1
2026-09-05 14:35:38,PLS,Test_MSE,493086.10913687,ncomp = 1
2026-09-05 14:35:40,Regression Tree (Pruned),Test_MSE,33197.15540734,
2026-09-05 14:39:26,Linear,Test_MSE,479969.52479461,
2026-09-05 14:39:34,Polynomial,Test_MSE,488638.42480169,
2026-09-05 14:39:38,Ridge,Test_MSE,498192.3387168,
2026-09-05 14:39:41,Lasso,Test_MSE,477340.89712888,
2026-09-05 14:39:53,PCR,Test_MSE,498191.83015583,ncomp = 1
